Nuclide X9
    t                            Reference_solution           Series_solution             APE
    6             2291469318238692316121.1271818749    2.2914693182366553e+21      8.8896e-11
    7             4527187278485485698422.4945991308    4.5271872784813523e+21      9.1302e-11
    8             7907586424295817868182.2923679619    7.9075864242884455e+21      9.3232e-11
    9             12573349518536734238558.278145581    1.2573349518524813e+22      9.4814e-11
   10             18565810242824839395831.805629905    1.8565810242806996e+22      9.6109e-11
   20             108158196794809834803090.01254818    1.0815819679469902e+23      1.0246e-10
   30             117533472878642747640748.16114566    1.1753347287851968e+23      1.0471e-10
   40             65739952321235957751061.673190458    6.5739952321166423e+22      1.0577e-10
   50             25946003334264559181976.605579618    2.5946003334236956e+22      1.0639e-10
   60             8301185694558218341011.6861482695    8.3011856945493584e+21      1.0673e-10
   70             2315470121779822857141.1512213667    2.3154701217773472e+21      1.0692e-10
   80             587538201645552030802.28939519912    5.8753820164492296e+20      1.0707e-10
   90             139297951102468402360.79462997586    1.3929795110231918e+20      1.0712e-10
  100             31409504895473624536.371895225845    3.1409504895439962e+19      1.0717e-10


Nuclide X6
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             5735589272856034910.0165490365013    5.7355892728519823e+18      7.0657e-11
    2             141653768067807987265.31571761407    1.4165376806771240e+20      6.7480e-11
    3             830692347886891732853.63284161785    8.3069234788628601e+20      7.2918e-11
    4             2704853526841296819904.8368590957    2.7048535268392100e+21      7.7151e-11
    5             6381989993964580310378.7039086086    6.3819899939594615e+21      8.0207e-11
    6             12285007522910895912773.838341061    1.2285007522900765e+22      8.2466e-11
    7             20552825347062084290746.172848841    2.0552825347044786e+22      8.4165e-11
    8              31034216034280610601645.17607662    3.1034216034254073e+22      8.5511e-11
    9             43336966808819437009291.767335156    4.3336966808781917e+22      8.6577e-11
   10             56904278740521211722559.653162476    5.6904278740471443e+22      8.7460e-11
   20             147331790860180764834400.61080627    1.4733179086004580e+23      9.1606e-11
   30             95308014742418201395915.161611306    9.5308014742329555e+22      9.3010e-11
   40             35875864892875640428556.704293723    3.5875864892842053e+22      9.3621e-11
   50             10217112372889183816593.733725187    1.0217112372879582e+22      9.3978e-11
   60             2470621007174703644625.5014328154    2.4706210071723786e+21      9.4108e-11
   70             538886289299608267684.38283560407    5.3888628929910047e+20      9.4231e-11
   80             109833562030428597182.35944866925    1.0983356203032506e+20      9.4267e-11
   90             21386023634820196096.716195826384    2.1386023634800038e+19      9.4258e-11
  100             4036381048399757742.6630233759032    4.0363810483959532e+18      9.4256e-11


Nuclide X5
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             121984494097907727894.58525042992    1.2198449409783464e+20      5.9916e-11
    2             1480330007621341711927.0307784663    1.4803300076204487e+21      6.0325e-11
    3             5687037996521662787525.8271541547    5.6870379965179683e+21      6.4963e-11
    4             13646790612724570229954.590422575    1.3646790612715280e+22      6.8076e-11
    5             25309591944932600609753.723029782    2.5309591944914824e+22      7.0237e-11
    6              39888522119958377905232.03479001    3.9888522119929747e+22      7.1777e-11
    7             56194557857284044405044.299703108    5.6194557857243064e+22      7.2926e-11
    8             72935767389493517067548.161551804    7.2935767389439684e+22      7.3809e-11
    9             88929628300723612046305.306606731    8.8929628300657344e+22      7.4517e-11
   10             103225620313981502408028.88244351    1.0322562031390399e+23      7.5090e-11
   20             111266761921665167060074.40418455    1.1126676192157869e+23      7.7720e-11
   30             39641761655107031648042.939066618    3.9641761655075881e+22      7.8580e-11
